mixture,model,rank,score,certified_wins,possible_outrankers,certified_stable_topk_member,exact_stable_topk_member
source_mix,gemini-2.5-pro,1,1.0049898683573864,7,0,1,1
source_mix,chatgpt-4o-latest-20250326,2,0.630725249723408,6,1,1,1
source_mix,o3-2025-04-16,3,0.5725896103662167,5,2,1,1
source_mix,gemini-2.5-flash,4,0.38940607854698844,4,3,0,0
source_mix,qwen3-235b-a22b-no-thinking,5,0.2520531006681897,3,4,0,0
source_mix,mistral-medium-2505,6,0.12079971851676746,2,5,0,0
source_mix,claude-opus-4-20250514,7,0.0,1,6,0,0
source_mix,claude-sonnet-4-20250514,8,-0.26839722440769886,0,7,0,0
balanced,gemini-2.5-pro,1,1.2704115901075224,7,0,1,1
balanced,o3-2025-04-16,2,0.708942918957131,4,1,0,0
balanced,gemini-2.5-flash,3,0.684948503313412,4,1,0,0
balanced,chatgpt-4o-latest-20250326,4,0.6781172315910137,4,1,0,0
balanced,qwen3-235b-a22b-no-thinking,5,0.2664596343002144,3,4,0,0
balanced,claude-opus-4-20250514,6,0.0,1,5,0,0
balanced,mistral-medium-2505,7,-0.03729255635526603,0,6,0,0
balanced,claude-sonnet-4-20250514,8,-0.07016644313382632,0,5,0,0
english_heavy,gemini-2.5-pro,1,1.0875008654735014,7,0,1,1
english_heavy,chatgpt-4o-latest-20250326,2,0.6519240801455103,6,1,1,1
english_heavy,o3-2025-04-16,3,0.6067300461406521,5,2,1,1
english_heavy,gemini-2.5-flash,4,0.4677894143588696,4,3,0,0
english_heavy,qwen3-235b-a22b-no-thinking,5,0.2513387608976247,3,4,0,0
english_heavy,mistral-medium-2505,6,0.09765561059073773,2,5,0,0
english_heavy,claude-opus-4-20250514,7,0.0,1,6,0,0
english_heavy,claude-sonnet-4-20250514,8,-0.19590927480909137,0,7,0,0
non_english_heavy,gemini-2.5-pro,1,1.2985517015896795,7,0,1,1
non_english_heavy,o3-2025-04-16,2,0.7246679763135125,5,1,1,1
non_english_heavy,gemini-2.5-flash,3,0.718357593921803,4,1,0,0
non_english_heavy,chatgpt-4o-latest-20250326,4,0.6821469471980143,4,2,0,0
non_english_heavy,qwen3-235b-a22b-no-thinking,5,0.2687859225159975,3,4,0,0
non_english_heavy,claude-opus-4-20250514,6,0.0,1,5,0,0
non_english_heavy,claude-sonnet-4-20250514,7,-0.050821392106862505,0,5,0,0
non_english_heavy,mistral-medium-2505,8,-0.05805381280849738,0,6,0,0
